rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
3496,9886361,K02732.04,,CANDIDATE,CANDIDATE,0.848,0,0,0,0,24.5607107,3.75E-04,-3.75E-04,0,,,0.374,0.096,-0.374,8.679,0.35,-0.35,55.2,3.90E+00,-3.90E+00,0.006883,2.82E-04,-3.59E-04,0.25918,0.10714,-0.07563,1.13,0.2,-1.90E-01,0.1794,,,88.94,,,787,,,20.22,8.4,-8.4,6170,110,-135,4.192,0.137,-0.125,1.499,0.272,-0.245,289.92145,46.74456,12.805
3497,5953297,K02733.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,5.62006198,3.00E-05,-3.00E-05,0,,,0.969,0.005,-0.751,2.751,0.12,-0.12,190.1,1.30E+01,-1.30E+01,0.017766,5.95E-04,-5.24E-03,0.07279,3.76458,-0.02089,1.45,0.08,-6.00E-02,0.0577,,,78.72,,,772,,,4.95,2.5,-2.5,4868,78,-78,4.6,0.014,-0.049,0.746,0.045,-0.03,289.55301,41.297852,14.009
3498,7659389,K02734.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,3.8259005,1.32E-05,-1.32E-05,0,,,0.951,0.029,-0.713,1.8057,0.0748,-0.0748,857.2,5.08E+01,-5.08E+01,0.03572,1.54E-03,-9.34E-03,0.39093,10.71996,-0.33662,3.45,0.58,-3.10E-01,0.0465,,,81.86,,,1005,,,6.71,3.3,-3.3,5223,183,-183,4.505,0.054,-0.117,0.885,0.147,-0.079,281.04916,43.322601,15.768
3499,9472074,K02735.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,0.558841234,7.91E-07,-7.91E-07,0,,,0.307,0.146,-0.307,0.7918,0.0534,-0.0534,280.9,1.56E+01,-1.56E+01,0.015407,9.29E-04,-4.65E-04,8.80443,4.49632,-2.77672,1.33,0.18,-9.00E-02,0.0128,,,86.65,,,1787,,,5.26,1.3,-1.3,5151,154,-138,4.592,0.024,-0.102,0.792,0.106,-0.053,294.59656,46.048302,15.6
3500,10842192,K02736.01,Kepler-1329 b,CONFIRMED,CANDIDATE,1,0,0,0,0,9.33648141,3.48E-05,-3.48E-05,0,,,0.901,0.028,-0.622,2.5449,0.0862,-0.0862,885.4,4.47E+01,-4.47E+01,0.033763,3.03E-04,-6.88E-03,0.62878,5.53862,-0.29018,2.39,0.17,-2.30E-01,0.0747,,,86.38,,,577,,,14.26,7,-7,4442,133,-146,4.619,0.053,-0.025,0.648,0.046,-0.061,281.64774,48.271049,15.911
3501,6614629,K02737.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,0,0.526615152,6.29E-07,-6.29E-07,0,,,0.028,0.446,-0.028,1.0582,0.0373,-0.0373,64,2.00E+00,-2.00E+00,0.007299,2.60E-04,-1.62E-04,3.96176,1.89659,-1.36613,1.46,0.25,-4.60E-01,0.0133,,,89.59,,,2959,,,3.87,1.9,-1.9,5718,156,-142,3.966,0.292,-0.097,1.832,0.313,-0.581,294.25339,42.062382,12.428
3502,6630943,K02738.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,0.690405794,1.22E-06,-1.22E-06,0,,,0.281,0.198,-0.281,1.7407,0.0536,-0.0536,178.4,5.20E+00,-5.20E+00,0.012128,3.56E-04,-3.68E-04,1.08594,0.20071,-0.32016,1.04,0.13,-1.30E-01,0.0138,,,84.65,,,1731,,,3.013,0.557,-0.557,5204,169,-138,4.515,0.099,-0.09,0.786,0.097,-0.097,298.03104,42.052479,14.606
3503,4831728,K02739.01,Kepler-1330 b,CONFIRMED,CANDIDATE,1,0,0,0,0,10.10773789,4.79E-05,-4.79E-05,0,,,0.151,0.299,-0.151,3.828,0.109,-0.109,294.9,1.28E+01,-1.28E+01,0.015476,6.65E-04,-4.05E-04,1.54105,0.13944,-0.55722,1.98,0.33,-3.90E-01,0.0889,,,89.57,,,879,,,20.27,1.8,-1.8,5480,82,-74,4.26,0.18,-0.12,1.174,0.191,-0.234,290.57672,39.95689,15.017
3504,4831728,K02739.02,,CANDIDATE,CANDIDATE,0.899,0,0,0,0,7.0956395,1.19E-04,-1.19E-04,0,,,0.06,0.412,-0.06,3.465,0.475,-0.475,108.1,1.13E+01,-1.13E+01,0.009348,3.42E-04,-9.48E-04,1.47451,6.23038,-1.00363,1.2,0.19,-2.40E-01,0.0702,,,89.78,,,989,,,15.77,7.4,-7.4,5480,82,-74,4.26,0.18,-0.12,1.174,0.191,-0.234,290.57672,39.95689,15.017
3505,3336765,K02740.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,1.844857057,6.61E-06,-6.61E-06,0,,,0.594,0.028,-0.479,1.6557,0.0991,-0.0991,85.6,4.90E+00,-4.90E+00,0.008855,1.61E-03,-4.07E-04,1.89099,1.93983,-0.17821,0.97,0.27,-1.50E-01,0.0288,,,85.12,,,1601,,,6.98,2.4,-2.4,6143,166,-184,4.403,0.105,-0.195,1.004,0.28,-0.151,289.95581,38.463631,13.617
