,rowid,kepid,koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,predicted
319,320,10482160,CANDIDATE,7.34373964,137.29873999999998,0.185,1.1784,574.0,1.84,839.0,117.5,32.2,5757.0,4.5969999999999995,0.762,296.23215,47.678959000000006,14.657,0
326,327,11180361,CANDIDATE,0.533059312,171.2274419,1.263,1.8621,1500.0,133.56,5862.0,277887.7,179.6,8523.0,3.5589999999999997,4.051,286.0192,48.866741,7.747999999999999,1
341,342,10287723,CANDIDATE,129995.7784,393.59962,0.7127,9.408,1470.0,2.99,25.0,0.0,35.7,4500.0,4.572,0.726,296.82162,47.354031,13.447000000000001,0
344,345,11013201,CANDIDATE,13.11896244,261.53943399999997,0.042,4.3045,372.0,8.25,1768.0,2310.43,267.4,7221.0,3.488,4.24,282.00031,48.542221000000005,9.275,1
347,348,9414417,CANDIDATE,53.5057611,172.98304,0.46,10.5616,196.0,2.52,675.0,49.16,71.2,6247.0,4.016,1.7619999999999998,295.80267000000003,45.988079,9.582,0
353,354,6131236,CANDIDATE,6.79685353,138.11324,0.62,3.1702,393.0,2.01,985.0,222.91,29.8,6061.0,4.486000000000001,0.97,294.16321,41.451801,15.390999999999998,0
360,361,2307199,CANDIDATE,13.4471791,132.830555,0.963,3.0454,1430.0,5.24,848.0,122.34,105.3,6276.0,4.405,1.041,292.37476000000004,37.630959000000004,14.0,0
366,367,11192141,CANDIDATE,1.353771892,261.43662,1.203,7.0120000000000005,1350.0,430.99,4903.0,136609.48,76.7,4283.0,2.012,15.76,292.71963999999997,48.852016,10.523,1
378,379,3109930,CANDIDATE,37.8102649,158.35799,0.061,8.732999999999999,570.0,2.33,566.0,24.27,35.2,6085.0,4.4510000000000005,0.973,289.7767,38.26228,14.633,0
390,391,1161345,CANDIDATE,4.28746668,262.06245,0.374,1.5693,790.0,2.29,942.0,186.31,19.4,5296.0,4.5760000000000005,0.815,291.0488,36.839882,11.630999999999998,0
